SITES; VALUES
'Site 11';0,987733755539751
'Site 1';0,966637295148149
'Site 18';0,828402246849184
'Site 34';0,818647379057905
'Site 25';0,811306281234070
'Site 33';0,803694764219653
'Site 10';0,798058666019094
'Site 35';0,797400782123106
'Site 42';0,796300244467743
'Site 5';0,792587505556604
'Site 38';0,792582069871954
'Site 4';0,792002812966508
'Site 9';0,789764677928992
'Site 52';0,789575901102922
'Site 27';0,789176873755260
'Site 22';0,789105393726440
'Site 32';0,788969678784451
'Site 13';0,788839914331778
'Site 39';0,788040524173889
'Site 16';0,787935278910282
'Site 49';0,787908497287654
'Site 2';0,787392800328603
'Site 12';0,786059834677746
'Site 40';0,785992181486742
'Site 51';0,785777261874303
'Site 43';0,785725590471061
'Site 36';0,785646998361888
'Site 50';0,785610229081209
'Site 21';0,785577174558903
'Site 46';0,785541743394432
'Site 41';0,784817063571426
'Site 23';0,784442696009500
'Site 3';0,778931370934542
'Site 28';0,778908963745955
'Site 47';0,778894478907735
'Site 20';0,776491108914290
'Site 26';0,368101206104447
'Site 44';0,207687720426388
'Site 6';0,207670235136514
'Site 7';0,207617986927946
'Site 29';0,207484143664005
'Site 24';0,189130908227630
'Site 17';0,189092357623255
'Site 19';0,184250948853398
'Site 14';0,179317072835457
'Site 8';0,179317072835457
'Site 30';0,179317072835457
'Site 31';0,179317072835457
'Site 45';0,179317072835457
'Site 53';0,179317072835457
'Site 54';0,179317072835457
'Site 37';0,172709574592042
'Site 48';0,170373787828790
'Site 15';0
