Believability;Completeness;Timeliness;TOT
1;29;13;0,2592251562
29;38;32;0,2188848607
7;18;30;0,2542339072
33;24;33;0,1963647808
41;50;48;0,1302702576
47;54;37;0,06
36;26;28;0,1872348477
26;22;11;0,2425751575
23;33;15;0,2378452702
17;31;7;0,2513322202
31;6;17;0,273780936
30;3;2;0,8165967042
9;25;25;0,2442968173
8;16;27;0,2576454951
25;20;14;0,2270878279
11;23;26;0,2444275878
13;21;16;0,2475133989
34;7;1;0,6454348447
42;35;51;0,1240176207
14;8;23;0,2610988968
15;19;6;0,2644676811
39;36;52;0,1433380849
19;27;19;0,2465215148
49;44;41;0,0870044856
52;47;44;0,0870044856
38;37;53;0,1502944173
48;43;40;0,0870044856
32;34;3;0,2625199144
24;5;20;0,289876045
22;9;54;0,2461099565
3;28;29;0,2549785327
28;11;21;0,2406010607
40;42;49;0,1322467153
16;40;35;0,2345312673
18;39;34;0,23184133
37;51;50;0,1480730935
35;13;10;0,205753031
54;49;46;0,0870044856
51;46;43;0,0870044856
53;48;45;0,0870044856
50;45;42;0,0870044856
4;2;4;0,4671107782
10;17;24;0,2538714631
6;14;5;0,2851343697
12;10;12;0,2665776997
45;53;38;0,93
21;1;22;0,439845925
43;32;31;0,1283860215
2;4;18;0,3162745558
27;15;8;0,2424221499
44;41;47;0,1066335754
20;12;9;0,2559301292
5;30;36;0,2510208551
46;52;39;0,0625193042
